,joint_drug_name,condition_concept_name,PRR,PRR_error
265,albuterol_umeclidinium,peripheral swelling,5.0,5.0
266,acetaminophen_lidocaine,duodenitis,5.0,5.0
267,enalapril_sodium bicarbonate,mental status changes,2.5,2.5
268,tadalafil_ibuprofen,impaired work ability,2.0,2.0
269,diclofenac_lisinopril,pelvic fracture,3.33333,3.33333
270,vitamin a_famciclovir,asthenia,10.0,10.0
271,metformin_folic acid,osteoarthritis,2.68817,2.68817
272,atorvastatin_fluconazole,herpes zoster,1.4285700000000001,1.4285700000000001
273,lactulose_omeprazole,drug resistance,2.0,2.0
274,buprenorphine_fluconazole,drug level above therapeutic,10.0,10.0
275,warfarin_glipizide,pancreatitis acute,2.94118,2.94118
276,hydrochlorothiazide_quetiapine,brain neoplasm,2.5,2.5
277,prochlorperazine_dicyclomine,gastrointestinal haemorrhage,6.66667,6.66667
278,vitamin k 1_metoclopramide,renal failure,6.66667,6.66667
279,hydrocodone_lorazepam,rectal haemorrhage,3.51064,3.51064
280,zolpidem_penicillin,tooth infection,20.0,20.0
281,hesperidin_trimetazidine,dyspnoea,1.33333,1.33333
282,prochlorperazine_bortezomib,neuropathy peripheral,20.0,20.0
283,bupropion_cyclobenzaprine,breast disorder,10.0,10.0
284,hydrocodone_diazepam,anorexia,2.17822,2.17822
285,timolol_celecoxib,drug effect decreased,3.33333,3.33333
286,vitamin b 12_promethazine,balance disorder,3.15789,3.15789
287,prednisone_ketoprofen,malignant melanoma,5.0,5.0
288,lenalidomide_fluorouracil,diplopia,5.0,5.0
289,temazepam_benztropine,haematochezia,2.0,2.0
290,ceftriaxone_ranitidine,compression fracture,13.3333,13.3333
291,lactulose_sorafenib,blood amylase increased,10.0,10.0
292,prednisolone_oxazepam,multiple fractures,3.33333,3.33333
293,nystatin_promethazine,diverticulum,5.0,5.0
294,fluconazole_atenolol,arthropod bite,50.0,50.0
295,amlodipine_digoxin,gastrointestinal disorder,1.26437,1.26437
296,losartan_zopiclone,pruritus,1.35135,1.35135
297,clonazepam_hydromorphone,pelvic discomfort,5.0,5.0
298,duloxetine_pravastatin,incorrect route of drug administration,0.416667,0.416667
299,"insulin, isophane_verapamil",blindness,3.33333,3.33333
300,diltiazem_insulin glargine,ischaemic cardiomyopathy,20.0,20.0
301,furosemide_sildenafil,skin exfoliation,0.365854,0.365854
302,enoxaparin_azithromycin,tricuspid valve incompetence,90.0,90.0
303,acetaminophen_ramipril,visual field defect,2.63158,2.63158
304,doxycycline_sitagliptin,pruritus,2.0,2.0
305,spironolactone_adalimumab,blood cholesterol increased,1.4285700000000001,1.4285700000000001
306,metoclopramide_tiotropium,pulmonary valve incompetence,10.0,10.0
307,folic acid_oxcarbazepine,injection site haematoma,1.0,1.0
308,epinephrine_cytarabine,hypertension,2.0,2.0
309,pegfilgrastim_cyclophosphamide,fibrosis,1.0,1.0
310,furosemide_aprotinin,loss of consciousness,0.273973,0.273973
311,spironolactone_calcitriol,lung adenocarcinoma,10.0,10.0
312,diazepam_clonazepam,lumbar spinal stenosis,2.8571400000000002,2.8571400000000002
313,simvastatin_amoxicillin,personality disorder,10.0,10.0
314,valsartan_sodium chloride,blood bilirubin increased,1.66667,1.66667
315,oxycodone_paroxetine,sputum discoloured,10.0,10.0
316,isosorbide_darbepoetin alfa,hypoaesthesia,1.11111,1.11111
317,topiramate_alprazolam,pneumonia aspiration,0.5,0.5
318,docusate_sunitinib,obesity,3.33333,3.33333
319,valacyclovir_promethazine,diabetic neuropathy,30.0,30.0
320,oxycodone_chlordiazepoxide,loss of consciousness,4.375,4.375
321,glyburide_febuxostat,diarrhoea,6.0,6.0
322,nortriptyline_erythromycin,paraesthesia,4.0,4.0
323,glyburide_calcitriol,pruritus,2.5,2.5
324,risperidone_clonazepam,skull fractured base,10.0,10.0
325,enoxaparin_phenylephrine,renal disorder,10.0,10.0
326,morphine_montelukast,body temperature increased,0.833333,0.833333
327,clonazepam_celecoxib,incision site complication,5.0,5.0
328,mometasone_bupropion,oesophagitis,7.5,7.5
329,salmeterol_tizanidine,pancytopenia,5.71429,5.71429
330,salmon calcitonin_rabeprazole,depressed mood,5.0,5.0
331,magnesium oxide_potassium chloride,lichenification,10.0,10.0
332,warfarin_spironolactone,left atrial dilatation,90.0,90.0
333,"vitamin d_estrogens, esterified (usp)",compression fracture,10.0,10.0
334,pantoprazole_rituximab,diarrhoea,1.7405099999999998,1.7405099999999998
335,amlodipine_ursodeoxycholate,cardiomegaly,3.33333,3.33333
336,donepezil_rosuvastatin,parkinsonism,10.0,10.0
337,orphenadrine_potassium chloride,tremor,3.33333,3.33333
338,salmeterol_megestrol,ileus paralytic,10.0,10.0
339,albuterol_venlafaxine,regurgitation,1.11111,1.11111
340,hydrochlorothiazide_alprazolam,oedema genital,3.33333,3.33333
341,guaifenesin_prochlorperazine,impaired work ability,2.5,2.5
342,"diphenhydramine_albumin human, usp",pyrexia,2.8571400000000002,2.8571400000000002
343,alendronate_amiodarone,cystopexy,10.0,10.0
344,furosemide_mexiletine,constipation,2.22222,2.22222
345,quetiapine_ondansetron,vascular calcification,10.0,10.0
346,tramadol_modafinil,myelodysplastic syndrome,3.33333,3.33333
347,telmisartan_rofecoxib,activities of daily living impaired,30.0,30.0
348,duloxetine_propoxyphene,mental disorder,4.54545,4.54545
349,calcium carbonate_atorvastatin,localised oedema,10.0,10.0
350,ceftriaxone_gabapentin,wound dehiscence,10.0,10.0
351,formoterol_gabapentin,erectile dysfunction,1.875,1.875
352,bisoprolol_metoprolol,decreased appetite,0.789474,0.789474
353,ribavirin_diazepam,cerebral haematoma,10.0,10.0
354,oil of garlic_atenolol,incorrect drug administration duration,5.0,5.0
355,thyroid (usp)_zolpidem,dysphagia,1.875,1.875
356,risperidone_oxycodone,syncope,3.2,3.2
357,vitamin b6_diphenoxylate,joint swelling,20.0,20.0
358,salmeterol_glipizide,small intestinal obstruction,2.5,2.5
359,prednisolone_acetylcysteine,anaphylactic reaction,1.66667,1.66667
360,cephalexin_epoetin alfa,myoclonus,5.0,5.0
361,metoprolol_goserelin,death,2.04082,2.04082
362,olanzapine_valproate,accidental poisoning,2.0,2.0
363,fentanyl_meloxicam,skin discolouration,2.22222,2.22222
364,amantadine_bisoprolol,platelet count decreased,20.0,20.0
365,duloxetine_ketorolac,mouth ulceration,20.0,20.0
366,oxazepam_finasteride,atrial fibrillation,3.33333,3.33333
367,vancomycin_ketorolac,post procedural complication,20.0,20.0
368,hydrocodone_doxycycline,wound secretion,5.0,5.0
369,clindamycin_alendronate,anxiety,11.8182,11.8182
370,desonide_montelukast,weight decreased,2.0,2.0
371,olmesartan_doxazosin,drug ineffective,0.284553,0.284553
372,naproxen_verapamil,emotional disorder,6.25,6.25
373,vitamin b 12_glucosamine,swelling,1.11111,1.11111
374,propoxyphene_haloperidol,rash,0.909091,0.909091
375,calcium_potassium chloride,myelitis,2.5,2.5
376,esomeprazole_labetalol,intestinal obstruction,10.0,10.0
377,metoprolol_sodium chloride,body temperature decreased,3.33333,3.33333
378,quinapril_methylprednisolone,pulmonary arterial pressure increased,10.0,10.0
379,tazobactam_spironolactone,drug ineffective,0.20408199999999999,0.20408199999999999
380,nitroglycerin_ursodeoxycholate,dyspnoea,2.30769,2.30769
381,clonazepam_metoclopramide,abdominal distension,2.91667,2.91667
382,triamterene_standardized senna concentrate,blood glucose increased,10.0,10.0
383,cyclosporine_adalimumab,optic atrophy,10.0,10.0
384,warfarin_ezetimibe,hip fracture,2.69231,2.69231
385,paroxetine_methocarbamol,sensory loss,10.0,10.0
386,cyclobenzaprine_lubiprostone,cardiac disorder,3.33333,3.33333
387,fluticasone_baclofen,gallbladder operation,10.0,10.0
388,acenocoumarol_pravastatin,palpitations,1.66667,1.66667
389,bumetanide_paroxetine,vomiting,2.1428599999999998,2.1428599999999998
390,quetiapine_sildenafil,prostate cancer,3.33333,3.33333
391,ribavirin_peginterferon alfa-2b,allogenic bone marrow transplantation therapy,10.0,10.0
392,propranolol_levofloxacin,scar,10.0,10.0
393,vitamin e_teriparatide,joint swelling,9.0,9.0
394,carisoprodol_pramipexole,chondropathy,10.0,10.0
395,omeprazole_metoclopramide,macular degeneration,1.05263,1.05263
396,omeprazole_lorazepam,unresponsive to verbal stimuli,10.0,10.0
397,calcium carbonate_loperamide,foot fracture,3.33333,3.33333
398,amitriptyline_atenolol,blood pressure decreased,2.53165,2.53165
399,scopolamine_prochlorperazine,neutrophil count increased,5.0,5.0
400,simvastatin_rosuvastatin,sluggishness,1.11111,1.11111
401,salmeterol_dexamethasone,facial palsy,5.0,5.0
402,hydralazine_promethazine,electrolyte imbalance,10.0,10.0
403,famotidine_meloxicam,epistaxis,2.66667,2.66667
404,diazepam_loratadine,sinus bradycardia,2.0,2.0
405,sulfamethoxazole_cetirizine,colitis,13.3333,13.3333
406,"estrogens, esterified (usp)_atenolol",cough,6.0,6.0
407,propoxyphene_clonazepam,pancreatitis,5.33333,5.33333
408,meropenem_linezolid,histiocytosis haematophagic,70.0,70.0
409,morphine_metoclopramide,secretion discharge,1.66667,1.66667
410,sulfamethoxazole_docusate,obstructive airways disorder,2.5,2.5
411,esomeprazole_acebutolol,vertigo,10.0,10.0
412,lovastatin_levothyroxine,cerebellar ataxia,10.0,10.0
413,isosorbide_atenolol,gout,5.55556,5.55556
414,tadalafil_treprostinil,thyroid neoplasm,0.666667,0.666667
415,gliclazide_ketoprofen,altered state of consciousness,20.0,20.0
416,fluticasone_verapamil,toxic epidermal necrolysis,1.05263,1.05263
417,donepezil_lisinopril,feeling of body temperature change,2.5,2.5
418,lamivudine_prednisone,deafness,2.0,2.0
419,prednisone_amiodarone,pneumonia cytomegaloviral,10.0,10.0
420,ibuprofen_albuterol,blood sodium decreased,1.5094299999999998,1.5094299999999998
421,sertraline_methotrexate,neutrophil count abnormal,10.0,10.0
422,furosemide_doxazosin,femur fracture,0.666667,0.666667
423,lanthanum carbonate_sevelamer,haemorrhoidal haemorrhage,10.0,10.0
424,metformin_pamidronate,dry mouth,4.28571,4.28571
425,oxycodone_cholecalciferol,haematemesis,4.0,4.0
426,clotrimazole_alprazolam,hemiplegia,5.0,5.0
427,magnesium hydroxide_vancomycin,body temperature increased,2.5,2.5
428,sulfasalazine_vitamin d,rash erythematous,3.0,3.0
429,prochlorperazine_famciclovir,hiatus hernia,10.0,10.0
430,docusate_clonazepam,blister,1.66667,1.66667
431,amlodipine_amoxicillin,middle insomnia,1.11111,1.11111
432,amlodipine_acarbose,back pain,0.714286,0.714286
433,estradiol_tamoxifen,malnutrition,10.0,10.0
434,prednisolone_clonazepam,bronchial obstruction,20.0,20.0
435,estradiol_furosemide,glucose tolerance impaired,5.0,5.0
436,oxazepam_trimeprazine,fall,2.66667,2.66667
437,disulfiram_gabapentin,vision blurred,5.0,5.0
438,enalapril_temazepam,malnutrition,10.0,10.0
439,bisoprolol_ticagrelor,loss of consciousness,2.09459,2.09459
440,aspirin_digoxin,atrial thrombosis,6.36364,6.36364
441,phenylephrine_ibuprofen,dyspnoea,2.7027,2.7027
442,"sulfamethoxazole_insulin, aspart, human",screaming,3.33333,3.33333
443,tamsulosin_carvedilol,fungal skin infection,5.0,5.0
444,spironolactone_omeprazole,head discomfort,2.30769,2.30769
445,exemestane_sertraline,aspartate aminotransferase increased,5.0,5.0
